roi,model,waic
Andorra,reducedlinearmodelq0_fit_table,511.1763380531848
Cyprus,reducedlinearmodelq0_fit_table,519.3351224098117
Slovakia,fulllinearmodel_fit_table,528.1972725518268
Tunisia,reducedlinearmodelNegBinom_fit_table,529.1373259136859
Burkina Faso,reducedlinearmodelq0_fit_table,529.6745307216295
US_SD,fulllinearmodel_fit_table,542.2656045348797
US_ME,fulllinearmodel_fit_table,546.7070414886621
Albania,fulllinearmodel_fit_table,547.1710474825122
North Macedonia,reducedlinearmodelNegBinom_fit_table,570.5298771607112
US_NH,reducedlinearmodelq0_fit_table,572.0812659878436
Kazakhstan,nonlinearmodelq0ctime_fit_table,573.4439070873982
Lithuania,reducedlinearmodelq0_fit_table,576.1720495985654
US_NM,reducedlinearmodelq0_fit_table,579.3098217551643
Bulgaria,reducedlinearmodelNegBinom_fit_table,581.2144702983858
US_UT,fulllinearmodel_fit_table,603.5877464923228
Oman,reducedlinearmodelNegBinom_fit_table,603.7148105095698
Belarus,reducedlinearmodelNegBinom_fit_table,609.5469327427508
US_DE,reducedlinearmodelNegBinom_fit_table,611.7458257544422
Ukraine,reducedlinearmodelNegBinom_fit_table,619.3148203848949
Lebanon,fulllinearmodel_fit_table,620.7410907630126
Armenia,reducedlinearmodelq0_fit_table,622.5757688369022
Moldova,reducedlinearmodelq0_fit_table,623.0535217001958
Morocco,fulllinearmodel_fit_table,635.1984108161238
Bosnia and Herzegovina,reducedlinearmodelq0_fit_table,642.8439640388949
US_KY,reducedlinearmodelNegBinom_fit_table,645.7233091952528
US_RI,fulllinearmodel_fit_table,645.8251358287057
Azerbaijan,reducedlinearmodelq0_fit_table,648.5013201059278
US_AR,reducedlinearmodelNegBinom_fit_table,651.4032721279517
New Zealand,reducedlinearmodelq0ctime_fit_table,653.4931382528006
South Africa,reducedlinearmodelq0_fit_table,660.214650621342
Estonia,reducedlinearmodelq0_fit_table,661.6570679212508
US_OK,reducedlinearmodelq0_fit_table,668.8347659159269
US_DC,reducedlinearmodelNegBinom_fit_table,674.5357393250841
Serbia,fulllinearmodel_fit_table,678.2235275400568
US_IA,reducedlinearmodelq0_fit_table,680.5160846978166
Panama,reducedlinearmodelq0_fit_table,682.3879764213435
Hungary,reducedlinearmodelNegBinom_fit_table,685.335256892373
Slovenia,reducedlinearmodelq0_fit_table,690.1759718612046
US_AZ,reducedlinearmodelNegBinom_fit_table,702.3952388363949
Colombia,nonlinearmodelq0ctime_fit_table,717.0693826158362
Dominican Republic,reducedlinearmodelq0ctime_fit_table,718.6539217013208
Luxembourg,reducedlinearmodelq0_fit_table,727.1160097649366
Taiwan*,reducedlinearmodelq0ctime_fit_table,728.3941730588962
Kuwait,fulllinearmodel_fit_table,740.1954593086807
Croatia,fulllinearmodel_fit_table,753.8406629510347
US_VA,fulllinearmodel_fit_table,754.0223490637903
Finland,reducedlinearmodelNegBinom_fit_table,759.9586039273912
US_MN,reducedlinearmodelNegBinom_fit_table,776.1379793761122
Qatar,reducedlinearmodelNegBinom_fit_table,800.158190182006
Argentina,reducedlinearmodelq0_fit_table,809.1388840094509
Iceland,reducedlinearmodelq0ctime_fit_table,826.885203444267
US_MD,reducedlinearmodelq0_fit_table,840.320314022139
Greece,reducedlinearmodelq0_fit_table,841.611126185301
Egypt,fulllinearmodel_fit_table,860.2109879801102
US_TN,reducedlinearmodelq0_fit_table,862.2902425787953
Mexico,fulllinearmodel_fit_table,864.6527180804037
Philippines,nonlinearmodelq0ctime_fit_table,870.966343875116
Iraq,fulllinearmodel_fit_table,872.3716551577178
Bahrain,reducedlinearmodelq0ctime_fit_table,873.2891399646855
Ireland,reducedlinearmodelq0_fit_table,904.5959882587823
Saudi Arabia,reducedlinearmodelq0_fit_table,908.0396258617384
Algeria,fulllinearmodel_fit_table,908.4010615705342
Poland,nonlinearmodelq0ctime_fit_table,911.4324826634801
Ecuador,reducedlinearmodelq0ctime_fit_table,920.128500357309
Peru,reducedlinearmodelq0_fit_table,924.1038644169472
US_TX,reducedlinearmodelNegBinom_fit_table,940.2046460779244
Pakistan,reducedlinearmodelq0ctime_fit_table,942.6231398606596
Indonesia,fulllinearmodel_fit_table,944.3225147343852
Czechia,nonlinearmodelq0ctime_fit_table,948.069199440236
United Arab Emirates,reducedlinearmodelq0_fit_table,958.2595643205436
Norway,reducedlinearmodelq0_fit_table,961.5749857140061
Romania,reducedlinearmodelq0_fit_table,970.9449565187944
India,fulllinearmodel_fit_table,980.9414916991287
Chile,reducedlinearmodelNegBinom_fit_table,982.69226298709
Israel,reducedlinearmodelq0_fit_table,1061.6732906431523
Turkey,fulllinearmodel_fit_table,1084.4556042097217
Portugal,reducedlinearmodelq0_fit_table,1097.472683293542
Denmark,reducedlinearmodelq0_fit_table,1099.7436513484545
Brazil,fulllinearmodel_fit_table,1107.3141537063748
Russia,reducedlinearmodelq0ctime_fit_table,1110.4612465511443
Sweden,reducedlinearmodelq0_fit_table,1116.4211953674123
Thailand,fulllinearmodel_fit_table,1122.4984939737906
US_NJ,reducedlinearmodelq0_fit_table,1150.611134227596
US_MI,reducedlinearmodelq0_fit_table,1182.7620404444353
Singapore,fulllinearmodel_fit_table,1219.034602487541
Netherlands,fulllinearmodel_fit_table,1269.5508643007804
Malaysia,reducedlinearmodelq0ctime_fit_table,1270.136026660669
Austria,reducedlinearmodelq0_fit_table,1279.7859431404975
Belgium,nonlinearmodelq0ctime_fit_table,1394.6357546514764
Japan,reducedlinearmodelNegBinom_fit_table,1409.0216958543133
Switzerland,nonlinearmodelq0ctime_fit_table,1491.7153651435315
United Kingdom,reducedlinearmodelq0ctime_fit_table,1552.1048952200515
US_NY,nonlinearmodelq0ctime_fit_table,1563.9795773847904
"Korea, South",reducedlinearmodelq0ctime_fit_table,1764.6922973176602
Spain,reducedlinearmodelq0ctime_fit_table,2003.8831007665424
France,reducedlinearmodelq0ctime_fit_table,2029.9605713800931
Germany,reducedlinearmodelq0ctime_fit_table,2046.6330573628447
US,reducedlinearmodelq0ctime_fit_table,2113.8338018165246
Iran,reducedlinearmodelNegBinom_fit_table,2234.270719213317
Italy,reducedlinearmodelq0ctime_fit_table,2483.541661137591
China,fulllinearmodel_fit_table,3090.615697062937
