Region,Model,Mean R0,CI lower,CI upper,Mean WAIC
Bulgaria,reducedlinearmodelNegBinom,7.1915,2.7618,20.5807,581.21
Burkina Faso,reducedlinearmodelq0,5.108,2.1153,12.5662,529.67
Burma,nonlinearmodelq0ctime,2.1167,1.1953,5.3055,162.02
Cabo Verde,reducedlinearmodelNegBinom,3.504,1.2563,15.0348,107.68
Cameroon,reducedlinearmodelq0,5.9711,1.9389,17.3328,425.33
Chile,reducedlinearmodelNegBinom,4.6529,2.1805,9.554,982.69
China,fulllinearmodel,9.7208,4.2281,19.3681,3090.62
Colombia,nonlinearmodelq0ctime,3.4285,1.5143,7.023,717.07
Congo (Brazzaville),nonlinearmodelq0ctime,2.492,1.2493,6.4284,146.92
Congo (Kinshasa),reducedlinearmodelq0ctime,4.2541,1.2952,13.2469,330.62
Costa Rica,reducedlinearmodelq0,5.0075,2.0835,12.8731,509.19
Croatia,fulllinearmodel,3.2691,1.6032,7.6664,753.84
Cuba,reducedlinearmodelNegBinom,4.3302,1.8399,12.5635,484.75
Cyprus,reducedlinearmodelq0,6.8964,2.5305,17.522,519.34
Czechia,nonlinearmodelq0ctime,3.5286,1.5947,7.6,948.07
Denmark,reducedlinearmodelq0,5.7261,2.4401,13.4141,1099.74
Diamond Princess,reducedlinearmodelq0,2.6252,1.3084,6.3438,471.34
Djibouti,reducedlinearmodelq0,4.3196,1.656,13.4217,283.74
Dominican Republic,reducedlinearmodelq0ctime,4.3046,1.7743,11.3851,718.65
Ecuador,reducedlinearmodelq0ctime,3.3607,1.4583,9.1168,920.13
Egypt,fulllinearmodel,5.4669,1.4845,17.4066,860.21
El Salvador,reducedlinearmodelq0,5.6015,2.1186,14.2015,266.17
Estonia,reducedlinearmodelq0,4.6485,2.047,11.4783,661.66
Ethiopia,nonlinearmodelq0ctime,1.9804,1.1785,4.4204,237.25
Finland,reducedlinearmodelNegBinom,5.269,2.193,17.4311,759.96
France,reducedlinearmodelq0ctime,1.4558,1.0331,5.7238,2029.96
Gabon,nonlinearmodelq0ctime,2.3316,1.2393,5.3972,173.62
Gambia,reducedlinearmodelq0,4.4821,1.3228,16.0848,16.53
Georgia,reducedlinearmodelNegBinom,5.5584,2.1781,14.7663,474.94
Germany,reducedlinearmodelq0ctime,1.6884,1.0313,5.2579,2046.63
Ghana,fulllinearmodel,5.5819,1.5846,19.4839,363.65
Greece,reducedlinearmodelq0,4.3863,2.0156,10.5299,841.61
Guatemala,nonlinearmodelq0ctime,2.1777,1.2465,4.5683,289.34
Guinea,reducedlinearmodelNegBinom,5.454,1.9081,19.2242,270.21
Guyana,reducedlinearmodelNegBinom,3.3826,1.1847,13.9848,169.55
Haiti,reducedlinearmodelNegBinom,3.6589,1.2256,14.8229,160.7
Honduras,reducedlinearmodelNegBinom,4.6303,1.852,16.3345,401.78
Hungary,reducedlinearmodelNegBinom,6.0906,2.4444,19.1203,685.34
Iceland,reducedlinearmodelq0ctime,4.2104,1.7521,14.5245,826.89
India,fulllinearmodel,6.0825,1.7392,28.6216,980.94
Indonesia,fulllinearmodel,6.725,2.7049,19.9314,944.32
Iran,reducedlinearmodelNegBinom,8.4165,3.4479,18.5043,2234.27
Iraq,fulllinearmodel,2.6453,1.272,10.3216,872.37
Ireland,reducedlinearmodelq0,5.337,2.157,13.7795,904.6
Israel,reducedlinearmodelq0,3.5341,1.7358,7.395,1061.67
Italy,reducedlinearmodelq0ctime,3.3592,1.0377,8.5097,2483.54
Jamaica,nonlinearmodelq0ctime,1.9412,1.1944,4.0201,270.61
Japan,reducedlinearmodelNegBinom,3.3877,1.696,6.9699,1409.02
Jordan,reducedlinearmodelq0,6.1261,2.3744,15.9557,476.76
Kazakhstan,nonlinearmodelq0ctime,2.7699,1.4239,5.4103,573.44
Kenya,reducedlinearmodelq0,4.2878,1.7455,12.1131,359.24
"Korea, South",reducedlinearmodelq0ctime,3.0308,1.204,5.7124,1764.69
Kosovo,nonlinearmodelq0ctime,1.8718,1.1443,5.9796,288.8
Kuwait,fulllinearmodel,4.1686,1.3493,16.2004,740.2
Kyrgyzstan,reducedlinearmodelq0ctime,4.9651,1.5585,16.2274,370.32
Latvia,reducedlinearmodelq0,4.957,1.9717,13.8226,472.0
Lebanon,fulllinearmodel,4.7757,1.9135,17.5724,620.74
Liberia,reducedlinearmodelNegBinom,6.0904,1.7405,19.794,133.39
Libya,reducedlinearmodelNegBinom,4.37,1.3861,17.7143,150.37
Liechtenstein,reducedlinearmodelq0,4.2613,1.2466,14.4923,170.11
Lithuania,reducedlinearmodelq0,5.3732,2.2041,14.3895,576.17
Luxembourg,reducedlinearmodelq0,5.9627,2.4846,15.3813,727.12
Malaysia,reducedlinearmodelq0ctime,1.6998,1.0805,3.3088,1270.14
Mali,fulllinearmodel,6.561,1.6811,21.1719,252.01
Malta,reducedlinearmodelq0,4.8582,1.945,12.5226,427.07
Mauritius,reducedlinearmodelq0,6.28,2.0706,17.3208,360.36
Mexico,fulllinearmodel,3.0962,1.426,10.3685,864.65
Moldova,reducedlinearmodelq0,6.3988,2.4473,15.5891,623.05
Monaco,reducedlinearmodelNegBinom,5.0208,1.6241,14.0862,241.94
Montenegro,reducedlinearmodelq0,6.8133,2.5504,17.7567,349.62
Morocco,fulllinearmodel,6.8236,2.4982,19.2799,635.2
Netherlands,fulllinearmodel,5.2645,2.23,15.167,1269.55
New Zealand,reducedlinearmodelq0ctime,3.2544,1.4838,8.2537,653.49
Niger,reducedlinearmodelq0,5.3591,1.845,15.5692,337.1
Nigeria,reducedlinearmodelq0,6.0455,2.4182,14.4807,427.28
North Macedonia,reducedlinearmodelNegBinom,5.5467,2.2743,18.7817,570.53
Norway,reducedlinearmodelq0,5.1896,2.217,12.5648,961.57
Oman,reducedlinearmodelNegBinom,2.6287,1.3636,6.4554,603.71
Pakistan,reducedlinearmodelq0ctime,3.5165,1.5279,8.7217,942.62
Panama,reducedlinearmodelq0,5.7948,2.2867,14.2833,682.39
Paraguay,reducedlinearmodelq0,3.6002,1.5898,9.4289,333.78
Peru,reducedlinearmodelq0,4.494,1.8497,10.9571,924.1
Philippines,nonlinearmodelq0ctime,3.6393,1.585,7.1716,870.97
Poland,nonlinearmodelq0ctime,3.2384,1.5321,6.6439,911.43
Portugal,reducedlinearmodelq0,4.618,2.1449,9.6426,1097.47
Qatar,reducedlinearmodelNegBinom,9.7456,3.3009,31.8075,800.16
Romania,reducedlinearmodelq0,3.9866,1.9418,7.9327,970.94
Russia,reducedlinearmodelq0ctime,2.4427,1.0937,6.3428,1110.46
San Marino,reducedlinearmodelq0ctime,4.8931,1.3926,14.0001,510.9
Saudi Arabia,reducedlinearmodelq0,4.6688,2.0803,10.8699,908.04
Senegal,reducedlinearmodelq0,3.3308,1.7294,6.8795,510.48
Serbia,fulllinearmodel,6.8024,1.7812,24.6652,678.22
Singapore,fulllinearmodel,3.8794,1.6743,8.944,1219.03
Slovakia,fulllinearmodel,7.8064,1.9154,24.5877,528.2
Slovenia,reducedlinearmodelq0,7.2322,2.8265,18.1023,690.18
Somalia,nonlinearmodelq0ctime,3.1186,1.4064,7.6521,116.42
South Africa,reducedlinearmodelq0,5.5569,2.2929,15.1046,660.21
Spain,reducedlinearmodelq0ctime,5.1687,2.4741,9.3009,2003.88
Sri Lanka,reducedlinearmodelq0ctime,6.9168,1.7805,18.8045,405.54
Sudan,reducedlinearmodelNegBinom,3.6457,1.2531,13.8681,126.76
Sweden,reducedlinearmodelq0,5.1891,2.187,13.0634,1116.42
Switzerland,nonlinearmodelq0ctime,3.7124,1.8084,7.7782,1491.72
Syria,reducedlinearmodelq0,2.9219,1.1641,9.52,126.15
Taiwan*,reducedlinearmodelq0ctime,1.9715,1.1849,4.9838,728.39
Tanzania,nonlinearmodelq0ctime,2.3288,1.2739,5.1122,194.71
Thailand,fulllinearmodel,1.8601,1.1799,3.4691,1122.5
Togo,reducedlinearmodelNegBinom,4.8143,1.7077,12.5363,263.9
Trinidad and Tobago,reducedlinearmodelq0,5.7694,1.9578,17.3374,288.34
Tunisia,reducedlinearmodelNegBinom,5.7247,2.2647,20.3529,529.14
Turkey,fulllinearmodel,9.9647,3.8243,28.819,1084.46
Ukraine,reducedlinearmodelNegBinom,7.9011,2.9859,27.0193,619.31
United Arab Emirates,reducedlinearmodelq0,1.4381,1.0618,2.6512,958.26
United Kingdom,reducedlinearmodelq0ctime,2.7688,1.2733,6.3541,1552.1
Uruguay,reducedlinearmodelq0,6.1585,2.1792,17.7802,460.44
Uzbekistan,fulllinearmodel,4.5545,1.5255,17.9534,464.71
Venezuela,reducedlinearmodelq0ctime,7.6223,2.1424,22.0414,378.83
West Bank and Gaza,fulllinearmodel,4.5138,1.3682,15.9936,429.4
Zambia,reducedlinearmodelq0,3.7357,1.2115,13.2724,201.45
Zimbabwe,reducedlinearmodelNegBinom,3.3855,1.1821,13.5396,123.39
