Region,Model,Mean CAR (week 0),CI lower,CI upper,Mean WAIC
Peru,reducedlinearmodelq0,0.0606,0.0167,0.3295,924.1
Philippines,nonlinearmodelq0ctime,0.2202,0.0612,0.6662,870.97
Poland,nonlinearmodelq0ctime,0.1172,0.032,0.4918,911.43
Portugal,reducedlinearmodelq0,0.0491,0.0153,0.2427,1097.47
Qatar,reducedlinearmodelNegBinom,0.1122,0.0263,0.5296,800.16
Romania,reducedlinearmodelq0,0.0479,0.0151,0.2381,970.94
Russia,reducedlinearmodelq0ctime,0.0379,0.0093,0.974,1110.46
San Marino,reducedlinearmodelq0ctime,0.0991,0.0261,0.4347,510.9
Saudi Arabia,reducedlinearmodelq0,0.056,0.0165,0.2913,908.04
Senegal,reducedlinearmodelq0,0.0507,0.0151,0.2841,510.48
Serbia,fulllinearmodel,0.1405,0.0342,1.0009,678.22
Singapore,fulllinearmodel,0.0595,0.0155,0.4663,1219.03
Slovakia,fulllinearmodel,0.1801,0.0399,0.9791,528.2
Slovenia,reducedlinearmodelq0,0.0937,0.0248,0.3956,690.18
Somalia,nonlinearmodelq0ctime,0.0544,0.0097,0.4798,116.42
South Africa,reducedlinearmodelq0,0.0665,0.0183,0.3411,660.21
Spain,reducedlinearmodelq0ctime,0.0638,0.0168,0.2253,2003.88
Sri Lanka,reducedlinearmodelq0ctime,0.1752,0.0519,0.5841,405.54
Sudan,reducedlinearmodelNegBinom,0.0855,0.017,0.7782,126.76
Sweden,reducedlinearmodelq0,0.066,0.0178,0.3263,1116.42
Switzerland,nonlinearmodelq0ctime,0.0588,0.0168,0.313,1491.72
Syria,reducedlinearmodelq0,0.1022,0.0188,1.0793,126.15
Taiwan*,reducedlinearmodelq0ctime,0.048,0.0136,0.3394,728.39
Tanzania,nonlinearmodelq0ctime,0.0542,0.0121,0.5289,194.71
Thailand,fulllinearmodel,0.0413,0.0131,0.1553,1122.5
Togo,reducedlinearmodelNegBinom,0.0906,0.0219,0.5894,263.9
Trinidad and Tobago,reducedlinearmodelq0,0.1376,0.0265,0.5254,288.34
Tunisia,reducedlinearmodelNegBinom,0.068,0.0176,0.3842,529.14
Turkey,fulllinearmodel,0.0456,0.0075,0.2604,1084.46
Ukraine,reducedlinearmodelNegBinom,0.065,0.0179,0.3455,619.31
United Arab Emirates,reducedlinearmodelq0,0.0473,0.012,0.6086,958.26
United Kingdom,reducedlinearmodelq0ctime,0.0349,0.0098,0.3813,1552.1
Uruguay,reducedlinearmodelq0,0.106,0.0237,0.4541,460.44
Uzbekistan,fulllinearmodel,0.0957,0.0228,1.1237,464.71
Venezuela,reducedlinearmodelq0ctime,0.243,0.0614,0.676,378.83
West Bank and Gaza,fulllinearmodel,0.1038,0.022,1.1604,429.4
Zambia,reducedlinearmodelq0,0.1172,0.0201,0.8962,201.45
Zimbabwe,reducedlinearmodelNegBinom,0.0961,0.0183,0.85,123.39
